county_resident,Population,Positive,DEATHS,HOSPITALIZATION
Appling,18561,72,5,11
Atkinson,8330,11,1,4
Bacon,11404,27,1,3
Baker,3116,23,2,8
Baldwin,44428,231,8,46
Banks,19982,31,0,7
Barrow,86383,159,4,44
Bartow,110771,324,31,119
Ben Hill,16645,28,0,2
Berrien,19276,17,0,1
Bibb,152150,321,11,91
Bleckley,12838,20,0,0
Brantley,19202,23,2,1
Brooks,15727,59,6,4
Bryan,39137,54,3,17
Bulloch,79467,42,2,9
Burke,22342,86,3,15
Butts,25174,151,16,16
Calhoun,6317,107,4,7
Camden,53924,35,1,6
Candler,10837,7,0,1
Carroll,120119,384,14,72
Catoosa,68771,51,0,5
Charlton,13251,12,0,3
Chatham,292176,233,9,55
Chattahoochee,10749,12,0,5
Chattooga,24766,16,2,3
Cherokee,266617,488,13,89
Clarke,129779,156,13,30
Clay,2855,25,3,4
Clayton,304838,786,33,137
Clinch,6656,9,0,2
Cobb,790588,1762,96,482
Coffee,43042,145,7,42
Colquitt,45393,188,10,11
Columbia,158631,163,4,25
Cook,17437,27,1,5
Coweta,152001,219,4,37
Crawford,12228,18,0,4
Crisp,22289,169,3,33
Dade,16162,16,1,3
Dawson,27021,66,1,12
DeKalb,793154,2180,52,416
Decatur,26322,90,1,10
Dodge,20385,29,1,7
Dooly,13400,132,9,35
Dougherty,89905,1534,124,314
Douglas,151906,340,11,98
Early,10146,214,20,11
Echols,3969,5,0,0
Effingham,64026,36,1,11
Elbert,18945,31,0,2
Emanuel,22664,21,0,3
Evans,10687,5,0,0
Fannin,26320,31,1,4
Fayette,117544,182,10,35
Floyd,99916,145,11,36
Forsyth,252507,332,10,46
Franklin,23329,21,1,5
Fulton,1099181,2973,122,548
Gilmer,31417,73,0,13
Glynn,86047,59,1,11
Gordon,58049,113,12,26
Grady,24540,64,4,18
Greene,18717,55,3,17
Gwinnett,971145,1970,58,360
Habersham,45800,343,8,51
Hall,206349,1695,22,216
Hancock,8193,59,2,9
Haralson,30722,29,1,7
Harris,34712,61,2,9
Hart,26107,11,0,0
Heard,12370,12,1,3
Henry,239866,517,13,60
Houston,157039,237,14,74
Irwin,9433,16,1,2
Jackson,74700,108,2,18
Jasper,14199,24,0,3
Jeff Davis,15148,20,1,4
Jefferson,15313,15,1,3
Jenkins,8576,16,1,4
Johnson,9661,59,2,10
Jones,28591,29,0,4
Lamar,19347,40,1,4
Lanier,10351,9,1,4
Laurens,47296,64,1,12
Lee,29971,328,20,46
Liberty,61904,37,0,11
Lincoln,8125,12,0,5
Long,19915,5,0,2
Lowndes,117878,158,4,28
Lumpkin,33802,63,2,12
Macon,12988,81,3,28
Madison,30177,25,1,5
Marion,8293,42,1,8
McDuffie,21597,45,4,13
McIntosh,14567,6,0,2
Meriwether,21020,54,0,9
Miller,5764,33,0,1
Mitchell,22056,319,31,69
Monroe,27727,24,3,7
Montgomery,9224,2,0,1
Morgan,19138,28,0,3
Murray,40261,33,1,5
Muscogee,191626,323,7,59
Newton,112354,207,7,35
Non-Georgia Resident,0,1082,14,68
Oconee,41737,65,0,9
Oglethorpe,15240,50,3,11
Paulding,172542,195,8,52
Peach,27375,57,2,15
Pickens,33530,27,2,8
Pierce,19545,52,3,15
Pike,18860,40,2,7
Polk,43482,59,0,11
Pulaski,10893,32,1,7
Putnam,21885,41,5,8
Quitman,2294,8,1,3
Rabun,16986,13,0,5
Randolph,6754,163,19,27
Richmond,202240,416,16,120
Rockdale,94960,196,6,44
Schley,5275,16,1,7
Screven,13900,15,1,6
Seminole,8140,30,2,7
Spalding,69110,220,10,36
Stephens,26328,87,1,21
Stewart,6129,25,0,7
Sumter,29399,388,28,99
Talbot,6158,26,1,13
Taliaferro,1632,1,0,0
Tattnall,25411,9,0,1
Taylor,7958,18,2,8
Telfair,15644,28,0,5
Terrell,8467,185,19,31
Thomas,44431,192,19,45
Tift,40830,127,5,35
Toombs,26983,32,3,9
Towns,12034,20,1,7
Treutlen,6829,3,0,0
Troup,70414,154,4,45
Turner,8076,69,9,10
Twiggs,8086,8,0,3
Union,25335,31,1,10
Unknown,,681,0,41
Upson,26277,228,19,22
Walker,69610,60,0,1
Walton,95814,132,4,21
Ware,35853,130,11,37
Warren,5210,13,0,3
Washington,20302,44,2,5
Wayne,29974,13,0,2
Webster,2550,10,2,5
Wheeler,7909,5,0,0
White,31758,78,0,19
Whitfield,104672,119,4,15
Wilcox,8790,90,9,15
Wilkes,10014,25,0,5
Wilkinson,8919,35,2,13
Worth,20142,162,11,31
